movie_id,person_id
tt0114709,nm0005124
tt0114709,nm0230032
tt0114709,nm0004056
tt0114709,nm0710020
tt0114709,nm0923736
tt0114709,nm0169505
tt0114709,nm0812513
tt0113497,nm0378144
tt0113497,nm0852430
tt0113497,nm0833164
tt0113497,nm0885575
tt0113228,nm0425756
tt0114885,nm0573334
tt0114885,nm0060103
tt0113041,nm0796124
tt0113041,nm0352443
tt0113041,nm0329304
tt0113041,nm0583600
tt0113277,nm0000520
tt0114319,nm0853138
tt0114319,nm0000697
tt0114319,nm0499626
tt0114319,nm0070660
tt0114319,nm0713128
tt0112302,nm0878494
tt0112302,nm0814085
tt0112302,nm0521739
tt0114576,nm0049945
tt0114576,nm0704164
tt0113189,nm0001220
tt0113189,nm0289833
tt0113189,nm0128997
tt0113189,nm0270761
tt0112346,nm0815070
tt0112896,nm0000316
tt0112896,nm0209918
tt0112896,nm0352229
tt0112896,nm0831290
tt0112453,nm0748429
tt0112453,nm0504327
tt0112453,nm0169325
tt0112453,nm0776107
tt0113987,nm0000231
tt0113987,nm0729151
tt0113987,nm0929349
tt0112760,nm0065847
tt0112760,nm0331079
tt0112760,nm0262595
tt0112760,nm0317279
tt0112760,nm0455207
tt0112760,nm0635565
tt0112641,nm0000217
tt0112641,nm0683380
tt0114388,nm0000807
tt0114388,nm0000668
tt0113101,nm0025978
tt0113101,nm0734319
tt0113101,nm0001675
tt0113101,nm0000233
tt0112281,nm0644203
tt0112281,nm0077062
tt0113845,nm0724514
tt0113845,nm0521739
tt0113161,nm0001465
tt0113161,nm0291082
tt0112722,nm0081189
tt0112722,nm0535189
tt0112401,nm0905152
tt0112401,nm0905154
tt0112401,nm0001338
tt0114168,nm0759207
tt0113627,nm0001214
tt0113627,nm3840714
tt0114057,nm0662529
tt0114057,nm0000636
tt0114011,nm0454783
tt0112682,nm0001988
tt0112682,nm0000466
tt0112682,nm0012496
tt0112682,nm0491011
tt0115012,nm0270819
tt0115012,nm0910841
tt0115012,nm0944481
tt0112792,nm0425676
tt0112792,nm0060103
tt0114746,nm0003408
tt0114746,nm0672459
tt0114746,nm0672466
tt0114952,nm0000269
tt0114952,nm0323708
tt0112431,nm0003088
tt0112431,nm0455404
tt0112431,nm0004306
tt0112637,nm0358960
tt0112637,nm0392264
tt0112818,nm0000209
tt0112818,nm0695878
tt0112286,nm0312442
tt0113442,nm0204456
tt0112697,nm0002132
tt0112749,nm0367838
tt0112749,nm0665704
tt0114279,nm0518644
tt0114279,nm0005212
tt0114279,nm0264236
tt0114279,nm0000636
tt0112819,nm0400436
tt0112819,nm0400441
tt0112819,nm0114285
tt0112819,nm1088323
tt0114272,nm0871857
tt0114272,nm0910361
tt0113855,nm0095460
tt0113855,nm0864880
tt0113855,nm0238256
tt0114681,nm0562767
tt0114681,nm0377750
tt0113347,nm0653307
tt0113347,nm0026862
tt0114369,nm0001825
tt0114148,nm0300265
tt0114148,nm0082772
tt0114148,nm0335666
tt0114148,nm0493857
tt0114148,nm0443855
tt0114148,nm0335469
tt0114148,nm0957798
tt0114148,nm0560329
tt0114148,nm0326814
tt0114148,nm0436314
tt0114148,nm0322368
tt0114148,nm0316727
tt0114148,nm0606407
tt0114148,nm1190000
tt0114148,nm0548211
tt0114148,nm0118333
tt0114148,nm0152284
tt0114148,nm0142200
tt0114148,nm0278181
tt0114148,nm0424666
tt0114148,nm0389445
tt0114148,nm0699213
tt0114148,nm0710181
tt0114148,nm1786806
tt0114148,nm0563602
tt0114148,nm0234837
tt0114148,nm0460146
tt0114916,nm0005390
tt0114814,nm0003160
tt0113819,nm0000095
tt0110299,nm0002167
tt0110299,nm0691794
tt0110299,nm0785258
