show_id,person_id,character_name,role
tt0070644,nm0880521,Marianne,actress
tt0070644,nm0430746,Johan,actor
tt0070644,nm0000761,Katarina,actress
tt0070644,nm0511458,Eva,actress
tt0070644,nm0540300,Peter,actor
tt0070644,nm0287606,Modern,actress
tt0070644,nm0635959,Arne,actor
tt0070644,nm0908371,"Fru Palm, journalist",actress
tt0070644,nm0547140,"Eva, 12 år",actress
tt0070644,nm0074822,"Karin, syster till Eva",actress
tt0185906,nm0342241,Donald G. Malarkey,actor
tt0185906,nm0507073,Richard D. Winters,actor
tt0185906,nm0515296,Lewis Nixon,actor
tt0185906,nm0853169,Eugene G. Roe,actor
tt0185906,nm0005531,C. Carwood Lipton,actor
tt0185906,nm0950186,Darrell C. (Shifty) Powers,actor
tt0185906,nm0500614,Floyd M. (Tab) Talbert,actor
tt0185906,nm1056790,Robert E. (Popeye) Wynn,actor
tt0185906,nm0053028,Wayne A. (Skinny) Sisk,actor
tt0185906,nm0191044,Denver (Bull) Randleman,actor
tt0108906,nm0433495,Stig Helmer,actor
tt0108906,nm0738231,Sigrid Drusse,actress
tt0108906,nm0639152,Rigmor Mortensen,actress
tt0108906,nm0683587,Jørgen Krogshøj,actor
tt0108906,nm0704644,Judith Petersen,actress
tt0108906,nm0616910,Morten 'Mogge' Moesgaard,actor
tt0108906,nm0001424,Age Krüger,actor
tt0108906,nm0159836,Mona Jensen,actress
tt0108906,nm0726880,Narrator,actor
tt0108906,nm0406056,Camilla,actress
tt0259153,nm0001802,Prof. Joyce Reardon,actress
tt0259153,nm0444832,Steve Rimbauer,actor
tt0259153,nm0004782,Annie Wheaton,actress
tt0259153,nm0241232,Professor Carl Miller,actor
tt0259153,nm0412382,Cathy Kramer,actress
tt0259153,nm0001491,Rachel Wheaton,actress
tt0259153,nm0743671,Emery Waterman,actor
tt0259153,nm0001696,Nick Hardaway,actor
tt0259153,nm0001798,Victor Kandinsky,actor
tt0259153,nm0132610,Ellen Rimbauer,actress
tt0112130,nm0000147,Mr Darcy,actor
tt0112130,nm0000383,Elizabeth Bennet,actress
tt0112130,nm0363117,Jane Bennet,actress
tt0112130,nm0768018,Lydia Bennet,actress
tt0112130,nm0824102,Mrs. Bennet,actress
tt0112130,nm0926368,Mr. Bennet,actor
tt0112130,nm0094502,Mr Bingley,actor
tt0112130,nm0531070,Kitty Bennet,actress
tt0112130,nm0108939,Mary Bennet,actress
tt0112130,nm0151250,Miss Bingley,actress
tt0080297,nm0000027,George Smiley,actor
tt0080297,nm0419785,Peter Guillam,actor
tt0080297,nm0060766,Sir Oliver Lacon,actor
tt0080297,nm0786577,Mendel,actor
tt0080297,nm0378404,Toby Esterhase,actor
tt0080297,nm0007183,Bill Haydon,actor
tt0080297,nm0071799,Ricki Tarr,actor
tt0080297,nm0017739,Percy Alleline,actor
tt0080297,nm0726600,Roy Bland,actor
tt0080297,nm0000846,Jim Prideaux,actor
tt0287839,nm0627995,Muad'Dib,actor
tt0287839,nm0526749,Alia Atreides,actress
tt0287839,nm0564215,Leto Atreides II,actor
tt0287839,nm1140434,Ghanima Atreides,actress
tt0287839,nm0000481,Lady Jessica Atreides,actress
tt0287839,nm0041029,Duncan Idaho,actor
tt0287839,nm0605365,Gurney Halleck,actor
tt0287839,nm0185107,Irulan Corrino-Atreides,actress
tt0287839,nm0000215,Princess Wensicia Corrino,actress
tt0287839,nm0116803,Farad'n Corrino,actor
tt0142032,nm0000458,Duke Leto Atreides,actor
tt0142032,nm0627995,Muad'Dib,actor
tt0142032,nm0316284,Padishah - Emperor Shaddam Corrino IV,actor
tt0142032,nm0643805,Stilgar,actor
tt0142032,nm0716293,Lady Jessica Atreides,actress
tt0142032,nm0914679,Duncan Idaho,actor
tt0142032,nm0900651,Thufir Hawat,actor
tt0142032,nm0605365,Gurney Halleck,actor
tt0142032,nm1503521,Dr. Yueh,actor
tt0142032,nm0123648,Alia Atreides,actress
tt0075520,nm0694293,Jesus,actor
tt0075520,nm0001377,Mary,actress
