show_id,person_id
tt0070644,nm0000005
tt0185906,nm0291205
tt0185906,nm0004121
tt0185906,nm0000158
tt0185906,nm0500896
tt0185906,nm0518644
tt0185906,nm0638354
tt0185906,nm0004675
tt0185906,nm0864789
tt0108906,nm0001885
tt0108906,nm0036272
tt0259153,nm0062644
tt0112130,nm0486748
tt0080297,nm0410139
tt0287839,nm0944981
tt0142032,nm0365666
tt0075520,nm0001874
tt0081874,nm0068007
tt0083387,nm0572132
tt0083480,nm0486748
tt0088727,nm0838195
tt0092337,nm0001425
tt0094791,nm0002726
tt0096639,nm0934578
tt0098898,nm0578757
tt0099864,nm0908890
tt0103516,nm0834378
tt0106112,nm0730500
tt0108941,nm0308376
tt0110426,nm0442828
tt0110426,nm0913860
tt0110426,nm0605799
tt0112040,nm0276169
tt0120570,nm0291205
tt0120570,nm0141222
tt0120570,nm0000398
tt0120570,nm0001219
tt0120570,nm0000158
tt0120570,nm0550881
tt0120570,nm0609236
tt0120570,nm0005509
tt0120570,nm0003662
tt0120570,nm0005572
tt0130414,nm0006625
tt0135659,nm0062644
tt0178145,nm0240995
tt0207275,nm0141222
tt0207275,nm0936358
tt0244353,nm0248942
tt0314979,nm0753382
tt0324264,nm0768249
tt0340477,nm0006867
tt0346293,nm0240995
tt0355987,nm0004121
tt0097810,nm0111656
tt0079844,nm0001361
tt0118641,nm0564260
tt0259127,nm0523310
tt0318997,nm0001566
tt0105946,nm0892144
tt0105946,nm0247089
tt0105946,nm0337550
tt0105946,nm0426687
tt0105946,nm0278082
tt0105946,nm0174068
tt0105946,nm0187351
tt0105946,nm0872442
tt0105946,nm0235638
tt0105946,nm0337675
tt0105946,nm0226748
tt0105946,nm0178619
tt0105946,nm0299122
tt0105946,nm0480843
tt0105946,nm0082863
tt0105946,nm0632382
tt0105946,nm0229914
tt0105946,nm0784388
tt0105946,nm0692675
tt0105946,nm0295272
tt0105946,nm0574238
tt0105946,nm0004206
tt0105946,nm0498991
tt0105946,nm0833089
tt0105946,nm0936338
tt0423651,nm0909532
tt0164292,nm0035106
tt0376591,nm0770961
tt0783612,nm0000490
tt0118414,nm0464846
tt0461872,nm0240995
tt0137863,nm0632852
tt0088693,nm0364749
tt0075296,nm0677951
tt0430484,nm0193231
tt0109036,nm0765121
tt0090608,nm0295543
tt0463850,nm0480843
tt0070904,nm0001202
tt0424600,nm0004121
tt1079959,nm0419884
tt0472027,nm0393799
tt0279077,nm0875453
tt0279077,nm1536195
tt0279077,nm1532888
tt0279077,nm2674148
tt0279077,nm1535757
tt0871427,nm0055771
tt0871427,nm0833089
tt0910812,nm0932216
tt0409572,nm0233920
tt0409572,nm0590790
tt0409572,nm0687964
tt0409572,nm0887700
tt0409572,nm0914368
tt0409572,nm0934578
tt0387736,nm0005008
tt0233044,nm0104193
tt0407384,nm0509409
tt0115398,nm1337218
tt0208629,nm0800533
tt1227926,nm0923736
tt1117667,nm0163892
tt1264363,nm0818944
tt0080196,nm0001202
tt0075572,nm0159007
tt0075572,nm0259589
tt0075572,nm0338719
tt0075572,nm0608575
tt0087400,nm0718671
tt1117666,nm0954204
tt1141486,nm0242784
tt1260995,nm0053228
tt1104746,nm1366561
tt1461312,nm0932216
tt0085101,nm0241174
tt0495212,nm2485876
tt0495212,nm1261681
tt0495212,nm1491554
tt0495212,nm0867393
tt0092571,nm0838195
tt1329539,nm0362686
tt0884762,nm3856379
tt0884762,nm2380010
tt0884762,nm2535793
tt0884762,nm2139201
tt0884762,nm2317669
tt1358383,nm1583228
tt0081846,nm0540387
tt0081846,nm0654666
tt0081846,nm2277950
tt0081846,nm0447842
tt0081846,nm0920396
tt0081846,nm0354318
tt0081846,nm1258809
tt0081846,nm0920389
tt1438437,nm0059556
tt0115109,nm0088121
tt1587373,nm0000490
tt0172202,nm0002206
tt0172202,nm0318647
tt1453159,nm0590790
tt1321865,nm0000801
