show_id,title,original_title,start_year,end_year,description,content_rating,average_rating,num_votes,total_seasons,total_episodes,primary_image_url
tt0070644,Scenes from a Marriage,Scener ur ett äktenskap,1973.0,1973.0,Ten years within the marriage of Marianne and Johan.,TV-PG,8.5,17493.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BOGU4Mzg1ODMtMDBjOS00NzM3LTkzMjAtNGQ3MDY4YTVhNWY5XkEyXkFqcGc@._V1_.jpg
tt0185906,Band of Brothers,Band of Brothers,2001.0,2001.0,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",TV-MA,9.4,551516.0,1.0,10.0,https://m.media-amazon.com/images/M/MV5BMTQ3NTdmOTEtZTRmMi00NTg5LWI5NmUtYTNiOTc0ZmNkODU0XkEyXkFqcGc@._V1_.jpg
tt0259153,Rose Red,Rose Red,2002.0,2002.0,"A college professor and a team of psychics investigate an old abandoned house at the request of the man who has inherited it. They stay in the mansion, but unleash a terrifying force that threatens to destroy them all.",PG-13,6.7,27787.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BODg1ZGM4ZGItMTkwMi00YmMyLWFlMjEtMDgwMTFiMGMxYTFmXkEyXkFqcGc@._V1_.jpg
tt0112130,Pride and Prejudice,Pride and Prejudice,1995.0,1995.0,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",TV-PG,8.8,96646.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BYzNkMjRmZGMtODg1Ni00MjIxLWI4MTYtOGEwM2YyMmZiMjUzXkEyXkFqcGc@._V1_.jpg
tt0080297,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,1979.0,1979.0,"In the bleak days of the Cold War, espionage veteran George Smiley is forced out of semi-retirement to uncover a Soviet agent within MI6's echelons.",TV-14,8.5,10010.0,1.0,7.0,https://m.media-amazon.com/images/M/MV5BYTVjMTBmMGEtYjYwMy00YzhkLThmMGMtNDgyMWNmOWRiMzExXkEyXkFqcGc@._V1_.jpg
tt0287839,Children of Dune,Children of Dune,2003.0,2003.0,"The twins of Paul ""Muad'dib"" Atreides become embroiled in the political landscape of Arrakis (""Dune"") and the rest of the universe.",Unrated,7.2,15685.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTI3ODIwMTQ5OF5BMl5BanBnXkFtZTYwNTkwNDk5._V1_.jpg
tt0142032,Dune,Dune,2000.0,2000.0,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",Not Rated,6.9,25585.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTU4MjMyMTkxN15BMl5BanBnXkFtZTYwODA5OTU5._V1_.jpg
tt0075520,Jesus of Nazareth,Jesus of Nazareth,1977.0,1977.0,"Beginning before the Nativity and extending through the Crucifixion and Resurrection, this mini-series brings to life all of the sweeping drama in the life of Jesus, as told by the Gospels.",TV-G,8.5,25619.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BYWRmNTQzNmMtMmE1Mi00NDNmLWEyY2MtYjA3MDIyMmE2Y2MwXkEyXkFqcGc@._V1_.jpg
tt0083387,The Blue and the Gray,The Blue and the Gray,1982.0,1982.0,"America just before and during the Civil War, as seen through the eyes of an artist correspondent.",TV-PG,7.5,1931.0,1.0,3.0,https://m.media-amazon.com/images/M/MV5BMTQ2NTU0Nzg5NV5BMl5BanBnXkFtZTcwMTkwMDAzMQ@@._V1_.jpg
tt0083480,Smiley's People,Smiley's People,1982.0,1982.0,"The murder of a Soviet defector forces his old handler, British spymaster George Smiley, out of retirement. His investigation leads to an old nemesis, the Soviet spymaster known only as ""Karla"". This will be their final dance.",TV-14,8.5,4962.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BZDM3YjI0OTAtZWYwOC00NzYwLTljOWMtOGU4NTg5ZWM5YTExXkEyXkFqcGc@._V1_.jpg
tt0088727,Anne of Green Gables,Anne of Green Gables,1985.0,1985.0,"When Anne Shirley arrives at the Cuthbert's Farm on Prince Edward Island, she is a child with wild imagination, desperate to be loved. We follow Anne's enchanting life, from her struggles as an adolescent to her triumphs as a young woman.",TV-G,8.5,23351.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMGFjNGEzNjItZjU3Ny00MjM2LWJhOWEtMmFiOTQyY2U3YjExXkEyXkFqcGc@._V1_.jpg
tt0092337,Dekalog,Dekalog,1989.0,1990.0,"Ten television drama films, each one based on one of the Ten Commandments.",TV-MA,8.9,30251.0,1.0,10.0,https://m.media-amazon.com/images/M/MV5BZmUzZjk0NjEtOTFjMC00NDI2LTkwZmEtZWIxYjVjNDEwNWZiXkEyXkFqcGc@._V1_.jpg
tt0094791,The Bourne Identity,The Bourne Identity,1988.0,1988.0,"An injured, unconscious man washes ashore in a small French town. As he recovers, it becomes quite clear, someone is trying to kill him.",Unrated,6.8,4895.0,1.0,2.0,https://m.media-amazon.com/images/M/MV5BMTk0ODU3OTE4OV5BMl5BanBnXkFtZTcwOTY1ODAyMQ@@._V1_.jpg
tt0096639,Lonesome Dove,Lonesome Dove,1989.0,1989.0,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,TV-14,8.7,27538.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BYjUzNmFiZTAtYzA4ZC00ZGUyLWI3NGMtMTBlMGEzYTM4NDljXkEyXkFqcGc@._V1_.jpg
