show_id,title,original_title,start_year,end_year,description,content_rating,average_rating,num_votes,total_seasons,total_episodes,primary_image_url
tt0108906,The Kingdom,Riget,1994.0,2022.0,"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted.",TV-MA,8.2,20771.0,3.0,13.0,https://m.media-amazon.com/images/M/MV5BNGUxNzA4MTAtNzZhYy00YzM0LWE0MmYtM2FlOWM5ODZiMGFlXkEyXkFqcGc@._V1_.jpg
tt0081874,The Hitch Hiker's Guide to the Galaxy,The Hitch Hiker's Guide to the Galaxy,1981.0,1981.0,"Arthur Dent and his friend, Ford Prefect, escape the destruction of Earth, only to face incredible trials, tribulations and adventures in space and time.",TV-PG,8.0,11967.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BMTI2OTMwNDU1NF5BMl5BanBnXkFtZTcwOTIyNzAzMQ@@._V1_.jpg
tt0105946,Babylon 5,Babylon 5,1993.0,1998.0,"In the mid 23rd century, the Earth Alliance space station Babylon 5, located in neutral territory, is a major focal point for political intrigue, racial tensions and various wars over the course of five years.",TV-PG,8.4,35524.0,5.0,111.0,https://m.media-amazon.com/images/M/MV5BZTRmOWJjMWMtNDljOC00NzNlLWJhODItNjBjOGVkMDYxMzQ0XkEyXkFqcGc@._V1_.jpg
tt1104746,Red Chapel,Det røde kapel,2006.0,2006.0,"A Danish-Korean theater group, Simon Jul Jørgensen and Jacob Nossell travel to North Korea with their manager Mads Brügger, presenting absurd sketch comedy. A rare glimpse into a closed world.",,7.6,490.0,,,https://m.media-amazon.com/images/M/MV5BMDA1M2YyZTEtNWZkNi00YjVhLThhMDMtNGFiNTU3MDg1MTkxXkEyXkFqcGc@._V1_.jpg
tt1358383,The Ascent of Money,The Ascent of Money,2008.0,2008.0,"Niall Ferguson takes you on a historical adventure through the ascent of money, applying fact and opinion throughout.",,7.9,856.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BNWViOGJmYzAtYzI2ZC00NTlhLTg0ZDItNzA4MzRjODJhMjYyXkEyXkFqcGc@._V1_.jpg
tt1541777,Latin Music USA,Latin Music USA,2009.0,2009.0,"Latin Music USA highlights the great American music created by Latinos and celebrates the Latin Rhythms at the heart of Jazz, rock, country and rhythm and blues. It's a fresh take on American musical history, reaching across five decades to portray the rich mix of sounds created by Lations and embraced by all.",TV-PG,8.3,29.0,1.0,4.0,https://m.media-amazon.com/images/M/MV5BMjI5NjMxNjIyNF5BMl5BanBnXkFtZTgwMzg4OTcwMzE@._V1_.jpg
tt2033193,A Very Potter Musical,A Very Potter Musical,2009.0,2010.0,Harry and his pals are in for adventure when the Dark Lord returns from the dead to take revenge on The Boy Who Lived! So take a ride on Voldemort's flying machine and get ready to go back to Hogwarts!,E,8.8,3249.0,3.0,30.0,https://m.media-amazon.com/images/M/MV5BMjA4NzRmOGEtZWU5ZC00NjM0LWEwMGQtNDY4ZDI2ZjBjYjVmXkEyXkFqcGc@._V1_.jpg
tt0337898,Law of the Lawless,Brigada,2002.0,2002.0,"Brigada is a group of four friends, who grew up together and formed a most powerful gang in Moscow. Initially they made business together, but an unplanned murder transformed them. Now their lives are at risk and there is no way back.",TV-MA,8.3,12008.0,1.0,15.0,https://m.media-amazon.com/images/M/MV5BNzE5MzJiZWQtYzAzZi00YzE4LTlmOWUtMWMzNDhiMjMyMTU4XkEyXkFqcGc@._V1_.jpg
tt1866426,Dragon Age: Redemption,Dragon Age: Redemption,2011.0,,"This all-new six-part web series is based in the Dragon Age universe and created by Felicia Day, the force behind the blockbuster web series The Guild.",Not Rated,6.1,1254.0,1.0,6.0,https://m.media-amazon.com/images/M/MV5BMjMxNDg5MzExOF5BMl5BanBnXkFtZTgwNjg2NTA2MDE@._V1_.jpg
tt2085059,Black Mirror,Black Mirror,2011.0,,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- ""Black Mirror"" is a contemporary reworking of ""The Twilight Zone"" with stories that tap into the collective unease about the modern world.",TV-MA,8.7,667758.0,7.0,33.0,https://m.media-amazon.com/images/M/MV5BMWY3ZjgwMTctZTZmMS00ZTMwLTkwYWEtNTVkMDgwNjA5ODBiXkEyXkFqcGc@._V1_.jpg
tt0388644,The Staircase,Soupçons,2004.0,2018.0,The high-profile murder trial of American novelist Michael Peterson following the death of his wife Kathleen Peterson in 2001.,TV-MA,7.8,28048.0,1.0,13.0,https://m.media-amazon.com/images/M/MV5BNTU4NTE3MDY4NF5BMl5BanBnXkFtZTgwODk4NjY1NTM@._V1_.jpg
