show_id,person_id
tt0070644,nm0000005
tt0185906,nm0000158
tt0185906,nm0024421
tt0185906,nm0096897
tt0185906,nm0296861
tt0185906,nm0420701
tt0185906,nm0571341
tt0185906,nm0650089
tt0185906,nm0003662
tt0108906,nm0001885
tt0108906,nm0004612
tt0108906,nm0905071
tt0259153,nm0000175
tt0112130,nm0000807
tt0112130,nm0203577
tt0080297,nm0393938
tt0080297,nm0494170
tt0287839,nm0365666
tt0287839,nm0378541
tt0142032,nm0365666
tt0142032,nm0378541
tt0075520,nm0001874
tt0075520,nm0121256
tt0075520,nm0147599
tt0075520,nm0124878
tt0081874,nm0010930
tt0081874,nm0516032
tt0083387,nm1713407
tt0083387,nm0402848
tt0083387,nm0498637
tt0083480,nm0394200
tt0083480,nm0494170
tt0088727,nm0838195
tt0088727,nm0599844
tt0088727,nm0927618
tt0092337,nm0001425
tt0092337,nm0682830
tt0094791,nm0524924
tt0094791,nm0811807
tt0096639,nm0573505
tt0096639,nm0937074
tt0098898,nm0478852
tt0099864,nm0908890
tt0099864,nm0000175
tt0099864,nm0169548
tt0103516,nm0190930
tt0103516,nm0478852
tt0106112,nm0569570
tt0108941,nm0000175
tt0110426,nm0442828
tt0110426,nm0633730
tt0112040,nm0276169
tt0112040,nm0000175
tt0120570,nm0000158
tt0120570,nm0003662
tt0120570,nm0041469
tt0120570,nm2512331
tt0120570,nm0096897
tt0120570,nm2021474
tt0120570,nm0279971
tt0120570,nm0418321
tt0120570,nm0006512
tt0120570,nm0567073
tt0120570,nm0652361
tt0120570,nm3338048
tt0120570,nm0718031
tt0120570,nm0938490
tt0130414,nm0055726
tt0130414,nm0451689
tt0130414,nm0828350
tt0135659,nm0000175
tt0178145,nm0588986
tt0178145,nm0662591
tt0207275,nm0601881
tt0244353,nm0779170
tt0244353,nm0956595
tt0314979,nm0488991
tt0314979,nm0601822
tt0324264,nm0203577
tt0324264,nm1258797
tt0340477,nm0449499
tt0340477,nm0392955
tt0346293,nm1376076
tt0346293,nm0682196
tt0355987,nm0276823
tt0355987,nm0000175
tt0097810,nm0111656
tt0097810,nm0140643
tt0097810,nm0261748
tt0097810,nm1324555
tt0079844,nm0000175
tt0079844,nm0597574
tt0118641,nm0496134
tt0259127,nm0168206
tt0318997,nm1065785
tt0105946,nm0833089
tt0105946,nm0228489
tt0105946,nm0284894
tt0105946,nm0203035
tt0105946,nm0255196
tt0105946,nm0237472
tt0105946,nm0296567
tt0105946,nm0314775
tt0105946,nm0555601
tt0105946,nm0956002
tt0105946,nm0301274
tt0423651,nm0710383
tt0423651,nm1258797
tt0164292,nm0035024
tt0164292,nm0426095
tt0376591,nm0751720
tt0118414,nm0464846
tt0118414,nm0392955
tt0118414,nm0813068
tt0461872,nm1941895
tt0461872,nm0236305
tt0137863,nm0632852
tt0088693,nm0956928
tt0088693,nm0140902
tt0075296,nm0775237
tt0075296,nm0827856
tt0430484,nm0193231
tt0109036,nm0571210
tt0090608,nm0118719
tt0090608,nm0755334
tt0463850,nm0480843
tt0070904,nm0001202
tt0070904,nm0303297
tt0070904,nm0618380
tt0424600,nm0000341
tt0424600,nm0770938
tt1079959,nm0419884
tt1079959,nm0695332
tt0472027,nm0038933
tt0472027,nm0254945
tt0472027,nm0567184
tt0279077,nm0875453
tt0279077,nm0257939
tt0871427,nm0833089
tt0910812,nm0000875
tt0910812,nm0089369
tt0910812,nm0593749
tt0910812,nm0887978
tt0409572,nm0254945
tt0409572,nm0557895
tt0409572,nm0637493
tt0409572,nm0998086
tt0387736,nm0447406
tt0387736,nm0639328
tt0233044,nm1051830
tt0233044,nm0601881
tt0407384,nm0494372
tt0407384,nm0779170
tt0115398,nm0187877
tt0115398,nm0309864
tt0208629,nm0675458
tt0208629,nm0725766
tt1227926,nm0923736
tt1227926,nm0249421
tt1227926,nm1315990
tt1227926,nm1871590
tt1227926,nm0923738
tt1117667,nm0528969
tt1117667,nm0887015
tt1117667,nm1413946
tt1117667,nm1133498
tt1264363,nm0250735
tt0080196,nm0001202
tt0080196,nm0246841
tt0075572,nm0088479
tt0075572,nm0169569
tt0075572,nm0355077
tt0075572,nm0455852
tt0075572,nm0497458
tt0087400,nm0718671
tt0087400,nm0825688
tt1117666,nm0028672
tt1117666,nm0000807
tt1260995,nm1899619
tt1260995,nm1009681
tt1104746,nm1366561
tt1104746,nm1189809
tt1461312,nm0932216
tt0085101,nm0191725
tt0085101,nm0567181
tt0085101,nm0822540
tt0495212,nm1743426
tt0495212,nm0475853
tt0495212,nm0475594
tt0495212,nm0043552
tt0495212,nm0568772
tt0092571,nm0838195
tt0092571,nm0599844
tt1329539,nm1739929
tt0884762,nm3856379
tt0884762,nm2380010
tt1358383,nm0272563
tt0081846,nm0238668
tt0081846,nm0755981
tt0081846,nm1581663
tt1438437,nm3489265
tt1438437,nm0460567
tt0115109,nm0001940
tt0115109,nm0924896
tt0172202,nm0002206
tt0172202,nm0318647
tt1453159,nm0284336
tt1453159,nm0682196
tt1321865,nm0000801
tt1321865,nm0290425
tt1321865,nm1048908
tt0465326,nm0931388
tt1366312,nm0000807
tt1366312,nm0919652
tt0078588,nm0121708
tt0199208,nm0121708
tt1492030,nm0001331
tt1492030,nm0128906
tt1492030,nm1299680
tt0780362,nm0111576
tt0780362,nm0919652
tt0112041,nm0573505
tt0112041,nm0652223
tt0783328,nm0573505
tt0783328,nm0652223
tt0115238,nm0573505
tt0115238,nm0652223
tt1236371,nm0754847
tt1236371,nm0144876
tt0979263,nm0193231
tt0222581,nm0403251
tt0222581,nm0452670
tt1718776,nm0333705
tt1718776,nm0387828
tt1718776,nm0678857
tt1718776,nm0123997
tt1718776,nm1359981
tt1759871,nm0407392
tt1759871,nm2026157
tt1759871,nm4274412
tt0231626,nm0295357
tt0231627,nm0295357
tt0231627,nm0357239
tt1226036,nm0095685
tt0207907,nm0715931
tt0482857,nm1535885
tt1955162,nm0193231
tt1541777,nm0097742
tt1541777,nm0550096
tt1541777,nm0564431
tt1541777,nm1785965
tt1541777,nm0260773
tt2033193,nm4579146
tt2033193,nm4583828
tt2033193,nm4583853
tt0098769,nm0122741
tt0098769,nm0122849
tt0098769,nm0911552
tt1212452,nm0000175
tt1212452,nm1107639
tt0337898,nm1284414
